WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
3901,39,1,MAY,5,"16,17"
2907,29,7,AUGUST,8,"16,17"
1504,15,4,OCTOBER,10,"1,29,30"
2903,29,3,MAY,5,"16,17"
3103,31,3,APRIL,4,"6,9"
4903,49,3,AUGUST,8,"24,27"
2305,23,5,JULY,7,31
3901,39,1,AUGUST,8,"16,17"
4407,44,7,JULY,7,"10,11"
1702,17,2,JUNE,6,1
3904,39,4,APRIL,4,"10,11"
4201,42,1,AUGUST,8,"9,10,28,29"
2204,22,4,AUGUST,8,"8,9"
4303,43,3,APRIL,4,30
2508,25,8,SEPTEMBER,9,"21,24"
1106,11,6,APRIL,4,"24,25"
4601,46,1,APRIL,4,"2,3"
2309,23,9,OCTOBER,10,"4,5"
1607,16,7,SEPTEMBER,9,"14,17"
4707,47,7,OCTOBER,10,"3,4"
2208,22,8,OCTOBER,10,1
3304,33,4,JULY,7,"11,12"
2505,25,5,APRIL,4,"12,13"
1805,18,5,SEPTEMBER,9,"12,13"
2607,26,7,SEPTEMBER,9,"11,12"
2903,29,3,APRIL,4,"6,9"
1203,12,3,MAY,5,"4,7"
4906,49,6,MAY,5,"22,23"
3306,33,6,JULY,7,"17,18"
4007,40,7,APRIL,4,"18,19"
1407,14,7,APRIL,4,"18,19"
1702,17,2,APRIL,4,"4,5"
1008,10,8,NOVEMBER,11,"2,5"
1408,14,8,OCTOBER,10,"23,24"
2206,22,6,NOVEMBER,11,"2,5"
1208,12,8,MAY,5,"18,21"
3902,39,2,OCTOBER,10,"4,5"
2503,25,3,MAY,5,"4,14"
3305,33,5,AUGUST,8,"22,23"
1707,17,7,AUGUST,8,"10,13"
2402,24,2,JUNE,6,"6,7"
3609,36,9,JUNE,6,"4,5"
3806,38,6,MAY,5,"16,17"
4207,42,7,JULY,7,"5,6,12,13,19,20,26,27"
3403,34,3,NOVEMBER,11,"7,8"
4707,47,7,MAY,5,1
4002,40,2,SEPTEMBER,9,"6,7"
1406,14,6,APRIL,4,"16,17"
2102,21,2,SEPTEMBER,9,"14,17"
1504,15,4,MAY,5,"8,9"
2007,20,7,APRIL,4,"19,20"
2805,28,5,MAY,5,"18,21"
3506,35,6,SEPTEMBER,9,"20,21"
4207,42,7,AUGUST,8,"2,3,9,10,16,17,23,24,30,31"
4602,46,2,SEPTEMBER,9,"6,7"
1902,19,2,AUGUST,8,"24,27"
3303,33,3,SEPTEMBER,9,"26,27"
2308,23,8,APRIL,4,"20,23"
4903,49,3,JUNE,6,"18,19"
1908,19,8,JULY,7,"2,3"
1201,12,1,AUGUST,8,"22,23"
3608,36,8,MAY,5,31
4801,48,1,JULY,7,"25,26"
1607,16,7,OCTOBER,10,"23,24"
1902,19,2,JUNE,6,"14,15"
3503,35,3,SEPTEMBER,9,"12,13"
1602,16,2,APRIL,4,"4,5"
3602,36,2,OCTOBER,10,"23,24"
2901,29,1,AUGUST,8,1
2806,28,6,AUGUST,8,"9,10"
4606,46,6,JUNE,6,"15,18"
1009,10,9,SEPTEMBER,9,"18,19"
5005,50,5,MAY,5,"22,23"
1901,19,1,APRIL,4,"2,3"
4108,41,8,AUGUST,8,"13,14"
3501,35,1,SEPTEMBER,9,"6,7"
1901,19,1,NOVEMBER,11,"2,5"
2604,26,4,SEPTEMBER,9,"24,25"
2503,25,3,APRIL,4,"6,9"
2703,27,3,SEPTEMBER,9,"26,27"
3709,37,9,JULY,7,"13,16"
1807,18,7,NOVEMBER,11,"8,9"
1706,17,6,OCTOBER,10,"4,5"
3603,36,3,SEPTEMBER,9,"14,17"
4406,44,6,NOVEMBER,11,"21,23"
4205,42,5,NOVEMBER,11,"8,9"
1503,15,3,OCTOBER,10,"25,26"
3003,30,3,OCTOBER,10,"15,16"
2904,29,4,SEPTEMBER,9,"18,19"
1507,15,7,JUNE,6,"14,15"
1202,12,2,JULY,7,"27,30"
3102,31,2,JUNE,6,"12,13"
4701,47,1,NOVEMBER,11,"7,8"
3801,38,1,JULY,7,31
1801,18,1,MAY,5,31
3009,30,9,NOVEMBER,11,1
2902,29,2,MAY,5,"14,15"
5002,50,2,OCTOBER,10,"25,26"
1208,12,8,JUNE,6,"18,19"
4307,43,7,SEPTEMBER,9,"20,21,24,25"
3104,31,4,AUGUST,8,"24,27"
5003,50,3,JUNE,6,"26,27"
2708,27,8,OCTOBER,10,"11,12"
3904,39,4,MAY,5,"24,25"
2703,27,3,JULY,7,"2,3"
3801,38,1,AUGUST,8,1
3207,32,7,APRIL,4,"6,9"
2908,29,8,OCTOBER,10,1
4306,43,6,MAY,5,"16,17,18,21"
4606,46,6,OCTOBER,10,"16,17"
3803,38,3,APRIL,4,"4,5"
1108,11,8,JUNE,6,"14,15,18,9"
2408,24,8,JUNE,6,"22,25"
2802,28,2,APRIL,4,"4,5"
3509,35,9,JUNE,6,"26,27"
1502,15,2,OCTOBER,10,"23,24"
1606,16,6,SEPTEMBER,9,"12,13"
1906,19,6,NOVEMBER,11,16
3104,31,4,JUNE,6,"18,19"
5009,50,9,APRIL,4,"24,25"
4409,44,9,JULY,7,"26,27"
1506,15,6,OCTOBER,10,"4,5"
4308,43,8,MAY,5,"1,2,8,9,15,16,22,23,29,30"
4902,49,2,NOVEMBER,11,1
2905,29,5,NOVEMBER,11,1
2205,22,5,JULY,7,"2,3"
1608,16,8,OCTOBER,10,"25,26"
2201,22,1,JUNE,6,"20,21"
4306,43,6,OCTOBER,10,"25,26,29,30"
5008,50,8,APRIL,4,"20,23"
1806,18,6,SEPTEMBER,9,"18,19"
2507,25,7,MAY,5,"16,17"
3203,32,3,JUNE,6,"14,15"
2806,28,6,APRIL,4,"16,17"
2709,27,9,JUNE,6,"6,7"
4407,44,7,NOVEMBER,11,"13,14"
1002,10,2,MAY,5,"22,23"
4505,45,5,JUNE,6,"14,15"
4004,40,4,APRIL,4,"10,11"
3105,31,5,MAY,5,"16,17"
1705,17,5,AUGUST,8,"6,7"
4904,49,4,AUGUST,8,"28,29"
2608,26,8,AUGUST,8,"16,17"
3804,38,4,JUNE,6,"22,25"
2704,27,4,OCTOBER,10,1
3304,33,4,APRIL,4,"20,23"
2002,20,2,MAY,5,"21,22"
3306,33,6,JUNE,6,"6,7"
3508,35,8,APRIL,4,"20,23"
3803,38,3,SEPTEMBER,9,"12,13"
1205,12,5,MAY,5,"10,11"
4803,48,3,SEPTEMBER,9,"26,27"
4303,43,3,SEPTEMBER,9,"28,29,30,31"
3401,34,1,APRIL,4,"2,3"
1505,15,5,JULY,7,"9,10"
3701,37,1,JUNE,6,"20,21"
3201,32,1,MAY,5,1
2202,22,2,OCTOBER,10,"23,24"
2408,24,8,APRIL,4,"20,23"
2607,26,7,APRIL,4,"10,11"
1104,11,4,MAY,5,"29,30,31"
4509,45,9,NOVEMBER,11,1
3209,32,9,JULY,7,"2,3"
3609,36,9,APRIL,4,"24,25"
4405,44,5,OCTOBER,10,"26,29"
2507,25,7,JULY,7,"18,19"
4909,49,9,MAY,5,31
1601,16,1,JUNE,6,"14,15"
3602,36,2,MAY,5,"14,15"
1807,18,7,SEPTEMBER,9,"20,21"
2206,22,6,AUGUST,8,"14,15"
4905,49,5,MAY,5,"18,21"
4809,48,9,JULY,7,"19,20"
2609,26,9,AUGUST,8,"15,21"
2702,27,2,JUNE,6,"28,29"
2506,25,6,APRIL,4,"16,17"
4006,40,6,JULY,7,"27,30"
3009,30,9,JUNE,6,"26,27"
1105,11,5,JULY,7,"19,20,23,24"
2506,25,6,JULY,7,"16,17"
2801,28,1,APRIL,4,"2,3"
2209,22,9,OCTOBER,10,"2,3"
3009,30,9,SEPTEMBER,9,28
3002,30,2,JUNE,6,"6,7"
4603,46,3,SEPTEMBER,9,"10,11"
1106,11,6,OCTOBER,10,"25,26"
1302,13,2,APRIL,4,"4,5"
2804,28,4,AUGUST,8,"3,6"
4204,42,4,OCTOBER,10,"18,19"
2908,29,8,SEPTEMBER,9,28
3802,38,2,JULY,7,31
4805,48,5,MAY,5,"10,11"
4504,45,4,AUGUST,8,"14,15"
4509,45,9,APRIL,4,"24,25"
2901,29,1,MAY,5,"10,11"
2904,29,4,AUGUST,8,"8,9"
4005,40,5,NOVEMBER,11,"6,7"
3505,35,5,OCTOBER,10,"19,22"
1907,19,7,SEPTEMBER,9,"10,11"
4203,42,3,NOVEMBER,11,"1,2"
2206,22,6,APRIL,4,"16,17"
4709,47,9,MAY,5,"4,7"
4805,48,5,JULY,7,"9,10"
4806,48,6,OCTOBER,10,"4,5"
2301,23,1,APRIL,4,"2,3"
1101,11,1,OCTOBER,10,"2,3"
1604,16,4,JULY,7,31
1003,10,3,APRIL,4,"6,9"
4001,40,1,SEPTEMBER,9,"4,5"
1009,10,9,JULY,7,31
3509,35,9,SEPTEMBER,9,28
1708,17,8,APRIL,4,"20,23"
4709,47,9,AUGUST,8,"16,17"
3009,30,9,JULY,7,"27,30"
3001,30,1,OCTOBER,10,"9,10"
1208,12,8,APRIL,4,"20,23"
4702,47,2,NOVEMBER,11,"9,12"
4902,49,2,JUNE,6,"14,15"
3408,34,8,SEPTEMBER,9,"12,13"
2301,23,1,SEPTEMBER,9,"12,13"
5007,50,7,JULY,7,"9,10"
3601,36,1,MAY,5,"10,11"
2701,27,1,NOVEMBER,11,"2,5"
4107,41,7,JUNE,6,"26,27"
1203,12,3,JUNE,6,"4,5"
3002,30,2,JULY,7,"9,10"
4905,49,5,NOVEMBER,11,"8,9"
2401,24,1,NOVEMBER,11,"8,9"
3402,34,2,NOVEMBER,11,"5,6"
1402,14,2,OCTOBER,10,"4,5"
1508,15,8,APRIL,4,"20,23"
2203,22,3,MAY,5,"16,17"
1903,19,3,NOVEMBER,11,"8,9"
4305,43,5,MAY,5,"10,11,14,15"
3407,34,7,JUNE,6,"28,29"
3606,36,6,NOVEMBER,11,"2,5"
3809,38,9,SEPTEMBER,9,"20,21"
3809,38,9,AUGUST,8,"10,13"
2407,24,7,JUNE,6,"20,21"
2307,23,7,OCTOBER,10,1
1501,15,1,MAY,5,"1,29,30"
4604,46,4,JULY,7,"11,12"
2606,26,6,AUGUST,8,"13,20"
2705,27,5,APRIL,4,"12,13"
1506,15,6,AUGUST,8,"8,9"
1609,16,9,APRIL,4,"24,25"
2604,26,4,AUGUST,8,"22,23"
4802,48,2,APRIL,4,"4,5"
3603,36,3,AUGUST,8,"6,7"
4408,44,8,MAY,5,7
1905,19,5,APRIL,4,"12,13"
4005,40,5,JUNE,6,"4,5"
4007,40,7,JULY,7,31
2601,26,1,JUNE,6,1
2602,26,2,APRIL,4,"27,30"
2606,26,6,APRIL,4,"9,16"
2101,21,1,JULY,7,"19,20"
1002,10,2,APRIL,4,"4,5"
2502,25,2,OCTOBER,10,"3,4"
1908,19,8,SEPTEMBER,9,"12,13"
4201,42,1,OCTOBER,10,"4,5,25,26"
4608,46,8,AUGUST,8,"21,22"
4303,43,3,JUNE,6,"8,11,12,13"
4507,45,7,OCTOBER,10,"25,26"
3201,32,1,AUGUST,8,"19,20"
4006,40,6,APRIL,4,"16,17"
2404,24,4,APRIL,4,"10,11"
4906,49,6,APRIL,4,"18,19"
5003,50,3,MAY,5,"16,17"
3109,31,9,AUGUST,8,"6,7"
3704,37,4,APRIL,4,"10,11"
2406,24,6,OCTOBER,10,"23,26"
1204,12,4,SEPTEMBER,9,28
2906,29,6,MAY,5,"24,25"
1007,10,7,APRIL,4,"18,19"
3007,30,7,AUGUST,8,"22,23"
2508,25,8,AUGUST,8,"17,27"
3307,33,7,JULY,7,"19,20"
4206,42,6,SEPTEMBER,9,"2,11,12,18,19,25,26"
2802,28,2,OCTOBER,10,"17,8"
1008,10,8,APRIL,4,"20,23"
1404,14,4,MAY,5,"24,25"
1005,10,5,APRIL,4,"12,13"
1904,19,4,JUNE,6,"20,21"
1408,14,8,JULY,7,"23,24"
1504,15,4,AUGUST,8,"2,3,30,31"
1502,15,2,APRIL,4,"4,5"
3609,36,9,JULY,7,"13,16"
3608,36,8,NOVEMBER,11,"8,9"
2908,29,8,JUNE,6,1
1904,19,4,APRIL,4,"10,11"
5004,50,4,APRIL,4,"6,9"
1404,14,4,APRIL,4,"10,11"
2403,24,3,SEPTEMBER,9,"15,16"
4807,48,7,AUGUST,8,"10,13"
3309,33,9,OCTOBER,10,"15,16"
2809,28,9,JULY,7,"11,12"
1109,11,9,NOVEMBER,11,"6,7"
1209,12,9,JUNE,6,"20,21"
4703,47,3,AUGUST,8,1
4304,43,4,OCTOBER,10,"15,16,17,18"
4504,45,4,APRIL,4,"10,11"
1704,17,4,AUGUST,8,"2,3"
1107,11,7,JULY,7,"27,30"
2403,24,3,MAY,5,"8,9"
4603,46,3,MAY,5,"7,8"
3305,33,5,JULY,7,"13,16"
3702,37,2,JUNE,6,"22,25"
2703,27,3,NOVEMBER,11,"8,9"
1403,14,3,AUGUST,8,"22,23"
1207,12,7,SEPTEMBER,9,"10,11"
1605,16,5,SEPTEMBER,9,"10,11"
3106,31,6,MAY,5,"18,21"
3302,33,2,SEPTEMBER,9,"24,25"
1503,15,3,APRIL,4,"6,9"
3507,35,7,OCTOBER,10,"25,26"
3103,31,3,JUNE,6,"14,15"
1001,10,1,AUGUST,8,"24,27"
1803,18,3,APRIL,4,"4,5"
1103,11,3,OCTOBER,10,"11,12"
2205,22,5,APRIL,4,"12,13"
2106,21,6,AUGUST,8,"2,3"
4203,42,3,JULY,7,"12,13,31"
2108,21,8,AUGUST,8,"8,9"
2602,26,2,JUNE,6,"28,29"
1801,18,1,OCTOBER,10,"25,26"
1804,18,4,AUGUST,8,1
4203,42,3,APRIL,4,"10,11,26,27"
3306,33,6,AUGUST,8,"24,27"
4403,44,3,JULY,7,"12,13"
4608,46,8,JUNE,6,"25,26"
1102,11,2,AUGUST,8,"20,21,22,23"
4002,40,2,APRIL,4,"4,5"
2605,26,5,NOVEMBER,11,"8,9"
4707,47,7,APRIL,4,30
1106,11,6,SEPTEMBER,9,"10,11"
3903,39,3,APRIL,4,"6,9"
4904,49,4,APRIL,4,"12,13"
3202,32,2,JUNE,6,"12,13"
3303,33,3,JULY,7,"9,10"
2904,29,4,APRIL,4,"10,11"
3504,35,4,JUNE,6,"12,13"
3808,38,8,APRIL,4,"10,11"
4806,48,6,JULY,7,"11,12"
1906,19,6,SEPTEMBER,9,"6,7"
3104,31,4,MAY,5,"14,15"
4602,46,2,JUNE,6,"5,6"
4108,41,8,JUNE,6,"26,27"
3708,37,8,AUGUST,8,"20,21"
2509,25,9,MAY,5,"22,23"
4205,42,5,JULY,7,"19,20"
1804,18,4,NOVEMBER,11,"2,5"
3505,35,5,APRIL,4,"12,13"
3405,34,5,JUNE,6,"22,25"
3505,35,5,SEPTEMBER,9,"18,19"
3003,30,3,APRIL,4,"6,9"
3509,35,9,JULY,7,"27,30"
2409,24,9,APRIL,4,"24,25"
2101,21,1,APRIL,4,"2,3"
4702,47,2,SEPTEMBER,9,"18,19"
3505,35,5,JULY,7,"17,18"
2903,29,3,AUGUST,8,"6,7"
3504,35,4,JULY,7,"13,16"
2602,26,2,JULY,7,"27,30"
1709,17,9,OCTOBER,10,"15,16"
3107,31,7,MAY,5,"22,23"
3402,34,2,JUNE,6,"14,15"
2202,22,2,AUGUST,8,"2,3"
1107,11,7,JUNE,6,"12,13"
4404,44,4,JULY,7,"16,17"
1503,15,3,MAY,5,"4,7"
1707,17,7,APRIL,4,"18,19"
3402,34,2,APRIL,4,"4,5"
1702,17,2,SEPTEMBER,9,"24,25"
4009,40,9,SEPTEMBER,9,"26,27"
1104,11,4,APRIL,4,"12,13,16,17"
3905,39,5,APRIL,4,"12,13"
4705,47,5,JUNE,6,"14,15"
1101,11,1,APRIL,4,"2,3"
2008,20,8,APRIL,4,"23,24"
4002,40,2,JULY,7,"17,18"
2507,25,7,OCTOBER,10,"17,18"
2006,20,6,JULY,7,"20,23"
3304,33,4,NOVEMBER,11,"8,9"
3609,36,9,OCTOBER,10,"2,3"
1809,18,9,AUGUST,8,"14,15"
4508,45,8,AUGUST,8,"24,27"
1307,13,7,JULY,7,"5,6"
1607,16,7,JULY,7,"2,3"
4706,47,6,NOVEMBER,11,"9,10"
1207,12,7,OCTOBER,10,"9,10"
1608,16,8,SEPTEMBER,9,"18,19"
2402,24,2,AUGUST,8,"8,9"
4807,48,7,JUNE,6,"14,15"
1909,19,9,JULY,7,"5,6"
1406,14,6,JULY,7,"17,18"
1407,14,7,OCTOBER,10,"19,22"
4803,48,3,JUNE,6,"4,5"
2409,24,9,SEPTEMBER,9,28
4101,41,1,SEPTEMBER,9,"18,19"
1801,18,1,SEPTEMBER,9,"14,17"
3904,39,4,OCTOBER,10,"11,12"
3606,36,6,AUGUST,8,"14,15"
1902,19,2,NOVEMBER,11,"6,7"
3902,39,2,AUGUST,8,"20,21"
3807,38,7,SEPTEMBER,9,"18,19"
3502,35,2,MAY,5,"4,7"
4202,42,2,MAY,5,"10,11,30,31"
2803,28,3,OCTOBER,10,"19,22"
1807,18,7,JUNE,6,"4,5"
4801,48,1,JUNE,6,"26,27"
5006,50,6,NOVEMBER,11,"6,7"
3004,30,4,OCTOBER,10,"17,18"
4204,42,4,JUNE,6,"7,8,26,27"
2108,21,8,APRIL,4,"20,23"
2505,25,5,NOVEMBER,11,"8,9"
4909,49,9,NOVEMBER,11,"20,21"
4803,48,3,OCTOBER,10,"25,.26"
4808,48,8,JUNE,6,"18,19"
3603,36,3,APRIL,4,"6,9"
3001,30,1,SEPTEMBER,9,"6,7"
2104,21,4,JUNE,6,"4,5"
2906,29,6,AUGUST,8,"14,15"
2405,24,5,JULY,7,"17,18"
4302,43,2,NOVEMBER,11,"12,13,14,15"
3908,39,8,JUNE,6,"6,7"
4705,47,5,SEPTEMBER,9,"26,27"
2406,24,6,JULY,7,"19,20"
3707,37,7,JULY,7,"9,10"
4506,45,6,AUGUST,8,"20,21"
2304,23,4,JUNE,6,"4,5"
4107,41,7,MAY,5,"10,11"
2508,25,8,JULY,7,"20,23"
1305,13,5,SEPTEMBER,9,"14,17"
2702,27,2,NOVEMBER,11,"6,7"
2105,21,5,AUGUST,8,1
1805,18,5,APRIL,4,"18,19"
2807,28,7,MAY,5,"24,25"
2902,29,2,OCTOBER,10,"23,24"
2402,24,2,OCTOBER,10,"11,12"
2806,28,6,JUNE,6,"28,29"
4003,40,3,NOVEMBER,11,1
2706,27,6,NOVEMBER,11,16
1605,16,5,OCTOBER,10,"17,18"
4605,46,5,SEPTEMBER,9,"14,17"
2507,25,7,SEPTEMBER,9,"19,20"
3006,30,6,JUNE,6,"18,19"
1506,15,6,JUNE,6,"12,13"
3601,36,1,AUGUST,8,1
2705,27,5,OCTOBER,10,"2,3"
4501,45,1,OCTOBER,10,"9,10"
4706,47,6,APRIL,4,"26,27"
1301,13,1,APRIL,4,"2,3"
1209,12,9,NOVEMBER,11,"12,13"
3906,39,6,JULY,7,"17,18"
1604,16,4,MAY,5,"16,17"
4804,48,4,MAY,5,"8,9"
2905,29,5,AUGUST,8,"10,13"
2406,24,6,AUGUST,8,"20,21"
1501,15,1,AUGUST,8,"22,23"
2409,24,9,OCTOBER,10,"1,31"
3405,34,5,APRIL,4,"12,13"
2401,24,1,MAY,5,"2,3"
1104,11,4,JUNE,6,1
1207,12,7,MAY,5,"16,17"
4109,41,9,AUGUST,8,"15,16"
3509,35,9,APRIL,4,"24,25"
3605,36,5,SEPTEMBER,9,"20,21"
5008,50,8,MAY,5,31
1703,17,3,APRIL,4,"6,9"
1104,11,4,JULY,7,"13,16,17,18"
1302,13,2,JUNE,6,"20,21"
4103,41,3,MAY,5,"4,7"
3909,39,9,APRIL,4,"24,25"
2501,25,1,JUNE,6,"4,5"
1706,17,6,JUNE,6,"12,13"
3901,39,1,APRIL,4,"2,3"
2309,23,9,APRIL,4,"24,25"
4308,43,8,JUNE,6,"5,6,12,13,19,20,26,27"
2208,22,8,AUGUST,8,"20,21"
2602,26,2,AUGUST,8,"28,29"
3407,34,7,SEPTEMBER,9,"10,11"
5003,50,3,OCTOBER,10,"29,30"
1308,13,8,SEPTEMBER,9,"24,25"
1204,12,4,OCTOBER,10,"1,29,30"
4406,44,6,OCTOBER,10,"30,31"
3407,34,7,APRIL,4,"18,19"
2504,25,4,MAY,5,"8,9"
4806,48,6,NOVEMBER,11,"2,5"
4608,46,8,JULY,7,"27,30"
1507,15,7,OCTOBER,10,"9,10"
2004,20,4,AUGUST,8,"29,30"
1806,18,6,AUGUST,8,"8,9"
4002,40,2,MAY,5,"24,25"
2007,20,7,SEPTEMBER,9,"10,11"
4808,48,8,MAY,5,"18,21"
4401,44,1,JUNE,6,"21,22."
4206,42,6,JULY,7,"3,4,10,11,17,18,24,25,31"
1602,16,2,NOVEMBER,11,"14,15"
1606,16,6,APRIL,4,"16,17"
2506,25,6,JUNE,6,"18,19"
2801,28,1,JULY,7,"25,26"
3409,34,9,SEPTEMBER,9,"14,17"
2808,28,8,APRIL,4,"20,23"
1208,12,8,NOVEMBER,11,"8,9"
3905,39,5,AUGUST,8,"28,29"
1409,14,9,APRIL,4,"24,25"
2401,24,1,JULY,7,"5,6"
4902,49,2,OCTOBER,10,31
3008,30,8,JULY,7,"25,26"
4301,43,1,OCTOBER,10,1
3805,38,5,AUGUST,8,"6,7"
4604,46,4,SEPTEMBER,9,"12,13"
2306,23,6,APRIL,4,"16,17"
5008,50,8,OCTOBER,10,"11,12"
2506,25,6,MAY,5,"15,21"
3308,33,8,JULY,7,"23,24"
4207,42,7,OCTOBER,10,"4,5,11,12,18,19,25,26"
3303,33,3,NOVEMBER,11,"6,7"
1601,16,1,OCTOBER,10,"4,5"
3809,38,9,APRIL,4,"12,13"
1204,12,4,AUGUST,8,"2,3,30,31"
4004,40,4,JUNE,6,1
3809,38,9,JULY,7,"2,3"
3409,34,9,JULY,7,"5,6"
3106,31,6,JUNE,6,"22,25"
3909,39,9,SEPTEMBER,9,"10,11"
1503,15,3,JUNE,6,"4,5"
1808,18,8,APRIL,4,"16,17"
4308,43,8,APRIL,4,"3,4,10,11,17,18,24,25"
3509,35,9,NOVEMBER,11,1
3709,37,9,NOVEMBER,11,"12,13"
4202,42,2,SEPTEMBER,9,"20,21"
1004,10,4,SEPTEMBER,9,"4,5"
2806,28,6,OCTOBER,10,"29,30"
3105,31,5,JUNE,6,"20,21"
1708,17,8,JUNE,6,"18,19"
1603,16,3,SEPTEMBER,9,"4,5"
2601,26,1,MAY,5,"7,31"
4805,48,5,NOVEMBER,11,1
3902,39,2,MAY,5,"18,21"
4103,41,3,JUNE,6,"20,21"
4306,43,6,SEPTEMBER,9,"14,17,18,19"
2907,29,7,NOVEMBER,11,"6,7"
4603,46,3,NOVEMBER,11,"5,6"
2505,25,5,MAY,5,"10,11"
4706,47,6,JUNE,6,"18,19"
4102,41,2,JULY,7,"18,19"
4903,49,3,SEPTEMBER,9,28
4201,42,1,JUNE,6,"14,15"
3602,36,2,APRIL,4,"4,5"
1003,10,3,AUGUST,8,"30,31"
2407,24,7,APRIL,4,"18,19"
1601,16,1,APRIL,4,"2,3"
1109,11,9,JUNE,6,"20,21"
3805,38,5,JUNE,6,"26,27"
1101,11,1,MAY,5,"16,17"
2905,29,5,SEPTEMBER,9,"20,21"
1304,13,4,APRIL,4,"10,11"
2706,27,6,AUGUST,8,"22,23"
2306,23,6,JUNE,6,"8,11"
3403,34,3,AUGUST,8,"28,29"
5009,50,9,NOVEMBER,11,"14,15"
1207,12,7,JUNE,6,"14,15"
3107,31,7,NOVEMBER,11,"12,13"
3601,36,1,SEPTEMBER,9,"10,11"
1307,13,7,SEPTEMBER,9,"20,21"
1703,17,3,JUNE,6,"4,5"
1603,16,3,APRIL,4,"6,9"
3709,37,9,APRIL,4,"24,25"
3405,34,5,NOVEMBER,11,"13,14"
3006,30,6,AUGUST,8,"20,21"
2408,24,8,JULY,7,"25,26"
4104,41,4,AUGUST,8,"7,8"
5003,50,3,APRIL,4,"10,11"
2006,20,6,OCTOBER,10,"24,25"
3601,36,1,JULY,7,31
1903,19,3,APRIL,4,"6,9"
4708,47,8,JUNE,6,"22,25"
1402,14,2,APRIL,4,"4,5"
4405,44,5,NOVEMBER,11,"19,20"
3409,34,9,APRIL,4,"24,25"
2404,24,4,MAY,5,"10,11"
3204,32,4,OCTOBER,10,"17,18"
2208,22,8,JULY,7,"11,12"
4908,49,8,AUGUST,8,"6,7"
1008,10,8,JUNE,6,"8,11"
2803,28,3,JUNE,6,"20,21"
1701,17,1,MAY,5,"29,30"
5001,50,1,APRIL,4,"2,3"
1004,10,4,MAY,5,"29,30"
1105,11,5,JUNE,6,"4,5,6,7"
2201,22,1,SEPTEMBER,9,"10,11"
1507,15,7,SEPTEMBER,9,"10,11"
3301,33,1,JULY,7,"2,3"
1407,14,7,JULY,7,"19,20"
3705,37,5,JULY,7,"2,3"
3701,37,1,APRIL,4,"2,3"
1201,12,1,MAY,5,"1,29,30"
2206,22,6,SEPTEMBER,9,"24,25"
4206,42,6,AUGUST,8,"1,5,8,14,15,21,22,28,29"
3004,30,4,JULY,7,"13,16"
4706,47,6,OCTOBER,10,2
3908,39,8,OCTOBER,10,"23,24"
2001,20,1,AUGUST,8,"21,22"
3204,32,4,JUNE,6,"18,19"
3904,39,4,AUGUST,8,"24,27"
3401,34,1,JUNE,6,"12,13"
1602,16,2,AUGUST,8,"30,31"
4305,43,5,AUGUST,8,"1,2,3"
1103,11,3,JULY,7,"11,12"
3406,34,6,NOVEMBER,11,"15,16"
4307,43,7,JULY,7,"2,3,5,6"
1202,12,2,OCTOBER,10,"23,24"
3608,36,8,JUNE,6,1
3001,30,1,AUGUST,8,"6,7"
5002,50,2,MAY,5,"14,15"
2101,21,1,SEPTEMBER,9,"12,13"
1009,10,9,APRIL,4,"24,25"
2407,24,7,SEPTEMBER,9,"24,25"
4402,44,2,JULY,7,"2,9"
4503,45,3,APRIL,4,"6,9"
2906,29,6,APRIL,4,"16,17"
2405,24,5,APRIL,4,"12,13"
1108,11,8,OCTOBER,10,31
3504,35,4,AUGUST,8,"14,15"
1609,16,9,JULY,7,"9,10"
3002,30,2,MAY,5,"4,7"
2803,28,3,SEPTEMBER,9,"12,13"
2205,22,5,MAY,5,"22,23"
4808,48,8,AUGUST,8,"14,15"
3102,31,2,JULY,7,"17,18"
4801,48,1,SEPTEMBER,9,"20,21"
3301,33,1,MAY,5,"22,23"
1605,16,5,AUGUST,8,"2,3"
3404,34,4,APRIL,4,"10,11"
2502,25,2,JUNE,6,"6,7"
3607,36,7,JULY,7,"9,10"
1804,18,4,JULY,7,31
3207,32,7,AUGUST,8,"14,17"
2409,24,9,JUNE,6,"26,27"
1306,13,6,APRIL,4,"16,17"
4401,44,1,AUGUST,8,"6,9,31"
3204,32,4,JULY,7,"27,30"
2103,21,3,JULY,7,"25,26"
1604,16,4,APRIL,4,"10,11"
2006,20,6,JUNE,6,"4,5"
4801,48,1,OCTOBER,10,"19,22"
3304,33,4,SEPTEMBER,9,28
2708,27,8,JULY,7,"17,18"
4205,42,5,OCTOBER,10,"2,3,23,24"
1401,14,1,NOVEMBER,11,1
3802,38,2,APRIL,4,"2,3"
5007,50,7,NOVEMBER,11,"8,9"
4803,48,3,APRIL,4,"6,9"
1108,11,8,MAY,5,"1,2,3"
2607,26,7,AUGUST,8,"8,14"
2705,27,5,MAY,5,"24,25"
4603,46,3,OCTOBER,10,"5,9"
2808,28,8,AUGUST,8,"15,16"
1007,10,7,NOVEMBER,11,1
3203,32,3,OCTOBER,10,"15,16"
3106,31,6,OCTOBER,10,"4,5"
4302,43,2,APRIL,4,"24,25,26,27"
4508,45,8,APRIL,4,"20,21"
1402,14,2,MAY,5,"18,21"
1608,16,8,APRIL,4,"20,23"
2507,25,7,AUGUST,8,"15,16"
